id,device,timestamp,activityLevel,timestamp
94111fcc-e2b1-4088-9314-2e84cb812c08-12114,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126855.377,high,1435126855.377
94111fcc-e2b1-4088-9314-2e84cb812c08-12117,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126856.378,high,1435126856.378
94111fcc-e2b1-4088-9314-2e84cb812c08-12120,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126857.383,high,1435126857.383
94111fcc-e2b1-4088-9314-2e84cb812c08-12123,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126858.383,high,1435126858.383
94111fcc-e2b1-4088-9314-2e84cb812c08-12125,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126988.145,high,1435126988.145
94111fcc-e2b1-4088-9314-2e84cb812c08-12128,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126989.147,high,1435126989.147
94111fcc-e2b1-4088-9314-2e84cb812c08-12131,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126990.149,high,1435126990.149
94111fcc-e2b1-4088-9314-2e84cb812c08-12134,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126991.151,high,1435126991.151
94111fcc-e2b1-4088-9314-2e84cb812c08-12137,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126992.153,high,1435126992.153
94111fcc-e2b1-4088-9314-2e84cb812c08-12140,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126993.155,high,1435126993.155
94111fcc-e2b1-4088-9314-2e84cb812c08-12143,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126994.158,high,1435126994.158
94111fcc-e2b1-4088-9314-2e84cb812c08-12146,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126995.16,high,1435126995.16
94111fcc-e2b1-4088-9314-2e84cb812c08-12149,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126996.162,high,1435126996.162
94111fcc-e2b1-4088-9314-2e84cb812c08-12152,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126997.163,high,1435126997.163
94111fcc-e2b1-4088-9314-2e84cb812c08-12155,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126998.166,high,1435126998.166
94111fcc-e2b1-4088-9314-2e84cb812c08-12158,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126999.168,high,1435126999.168
94111fcc-e2b1-4088-9314-2e84cb812c08-12161,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435127000.17,high,1435127000.17
94111fcc-e2b1-4088-9314-2e84cb812c08-12164,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435127001.178,high,1435127001.178
