id,device,timestamp,activityLevel,timestamp
59fba6f3-3948-4c1d-b08b-baddcdc4939f-14129,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155193.172,none,1435155193.172
59fba6f3-3948-4c1d-b08b-baddcdc4939f-14230,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155194.174,none,1435155194.174
59fba6f3-3948-4c1d-b08b-baddcdc4939f-14233,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155195.175,none,1435155195.175
59fba6f3-3948-4c1d-b08b-baddcdc4939f-14236,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155196.178,low,1435155196.178
59fba6f3-3948-4c1d-b08b-baddcdc4939f-18260,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155304.294,none,1435155304.294
59fba6f3-3948-4c1d-b08b-baddcdc4939f-18462,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155305.296,none,1435155305.296
59fba6f3-3948-4c1d-b08b-baddcdc4939f-18664,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155306.298,none,1435155306.298
59fba6f3-3948-4c1d-b08b-baddcdc4939f-18866,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155307.3,none,1435155307.3
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19067,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155308.303,none,1435155308.303
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19269,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155309.304,none,1435155309.304
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19472,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155310.308,none,1435155310.308
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19674,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155311.309,none,1435155311.309
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19876,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155312.311,none,1435155312.311
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20077,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155313.312,none,1435155313.312
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20279,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155314.314,none,1435155314.314
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20481,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155315.318,none,1435155315.318
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20684,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155316.325,none,1435155316.325
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20886,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155317.322,none,1435155317.322
