id,device,timestamp,accuracy,timestamp,x,y,z
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3706,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.81517,3,2870247195.81517,0.2936387,-0.10607362,0.58321
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3707,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.820205,3,2870247195.820205,0.680091,-0.11186314,-0.1046257
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3708,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.825241,3,2870247195.825241,1.062776,-0.1470046,-0.677124
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3709,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.830429,3,2870247195.830429,1.7620777,-0.13453054,-1.366478
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3710,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.835311,3,2870247195.835311,2.753908,-0.054064274,-2.2996454
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3711,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.840377,3,2870247195.840377,3.474543,-0.022542,-3.1867466
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3712,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.845382,3,2870247195.845382,3.5282857,0.035364628,-3.7334394
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3713,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.850418,3,2870247195.850418,3.4751716,0.06252813,-4.1913376
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3714,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.855453,3,2870247195.855453,3.2086737,0.041874886,-4.5549498
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3715,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.860488,3,2870247195.860488,3.1223888,-0.09131956,-4.9030523
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3716,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.865524,3,2870247195.865524,3.0839398,-0.34827352,-5.195422
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3717,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.87062,3,2870247195.87062,3.0005875,-0.70430255,-5.110408
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3718,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.875747,3,2870247195.875747,2.7357383,-1.0735364,-4.6286764
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3719,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.880477,3,2870247195.880477,2.3435953,-1.5830567,-4.2340765
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3720,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.885665,3,2870247195.885665,1.8936461,-2.0139747,-4.005249
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3721,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.890762,3,2870247195.890762,1.4341986,-2.3709295,-3.7251005
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3722,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.894058,3,2870247195.894058,1.4218678,-2.354624,-3.7216997
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3723,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.899246,3,2870247195.899246,1.2115936,-2.6900513,-3.8225374
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3724,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.904251,3,2870247195.904251,1.314532,-3.0451365,-3.7261992
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3725,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.909408,3,2870247195.909408,1.7395195,-3.4066682,-3.8643637
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3726,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.914566,3,2870247195.914566,1.8527743,-3.7784126,-3.8589506
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3727,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.920059,3,2870247195.920059,1.7043505,-3.926275,-3.7849932
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3728,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.92488,3,2870247195.92488,1.6371374,-3.9000065,-3.9138527
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3729,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.930038,3,2870247195.930038,1.571518,-3.7922974,-4.1553345
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3730,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.935195,3,2870247195.935195,1.4779556,-3.6672034,-4.3379345
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3731,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.940353,3,2870247195.940353,1.5010501,-3.5433812,-4.336296
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3732,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.94551,3,2870247195.94551,1.4001905,-3.4675827,-4.159258
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3733,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.950668,3,2870247195.950668,1.3792411,-3.5634122,-3.967352
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3734,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.955856,3,2870247195.955856,1.1518518,-3.5569894,-3.6281862
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3735,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.960983,3,2870247195.960983,1.1199996,-3.5169058,-3.253214
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3736,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.966445,3,2870247195.966445,1.0094013,-3.376687,-2.8519182
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3737,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.971298,3,2870247195.971298,0.9035251,-3.1396632,-2.386407
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3738,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.976303,3,2870247195.976303,0.85849464,-2.7596598,-2.1413546
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3739,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.981338,3,2870247195.981338,1.0162433,-2.3650265,-1.9882059
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3740,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.986373,3,2870247195.986373,1.3495654,-2.0646932,-2.121851
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3741,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.991415,3,2870247195.991415,2.0435514,-1.7651687,-2.2235518
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3742,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247195.996451,3,2870247195.996451,2.7720218,-1.6056933,-2.0833445
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3743,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.001486,3,2870247196.001486,3.1331773,-1.3364074,-1.9209366
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3744,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.006521,3,2870247196.006521,3.1034045,-0.85236096,-1.9394531
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3745,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.011557,3,2870247196.011557,3.0469167,-0.2403369,-2.1886854
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3746,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.016592,3,2870247196.016592,3.0825577,0.43254566,-2.0672102
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3747,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.021628,3,2870247196.021628,3.1733496,0.9274831,-1.5256758
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3748,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.026663,3,2870247196.026663,3.323479,1.2741523,-0.58083916
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3749,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.031851,3,2870247196.031851,2.9780426,1.4516745,0.4865284
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3750,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.036734,3,2870247196.036734,2.3532102,1.4832199,1.5625315
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3751,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.04183,3,2870247196.04183,1.7726505,1.479095,2.331149
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3752,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.046835,3,2870247196.046835,1.7799485,1.3743172,2.8368454
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3753,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.052054,3,2870247196.052054,2.3812218,0.84061337,3.0657349
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3754,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.056784,3,2870247196.056784,2.3503363,0.46922612,3.6946793
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3755,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.062002,3,2870247196.062002,1.8728039,0.4271965,4.582056
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3756,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.067251,3,2870247196.067251,1.024004,0.66338634,5.383422
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3757,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.07427,3,2870247196.07427,0.46168017,1.8313615,5.8401613
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3758,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.077444,3,2870247196.077444,0.4330492,1.8364124,5.8349047
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3759,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.082022,3,2870247196.082022,0.748647,2.3056524,5.5313253
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3760,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.08724,3,2870247196.08724,1.3068936,2.614773,4.8952713
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3761,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.092062,3,2870247196.092062,1.9388313,2.8480105,3.9295664
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3762,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.09545,3,2870247196.09545,2.3438466,3.046602,2.7864704
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3763,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.100668,3,2870247196.100668,2.2453218,3.2044156,1.956296
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3764,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.105795,3,2870247196.105795,2.0729647,3.0952168,1.5337734
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3765,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.11083,3,2870247196.11083,2.2625437,2.6875784,1.1202135
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3766,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.116018,3,2870247196.116018,2.3281448,2.1698053,0.9746876
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3767,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.121176,3,2870247196.121176,2.562435,1.9243755,0.86920834
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3768,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.126394,3,2870247196.126394,3.2852757,2.0489883,0.38390827
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3769,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.131491,3,2870247196.131491,3.9292226,2.0662615,-0.15715408
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3770,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.136648,3,2870247196.136648,3.9756804,1.9619918,-0.2545519
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3771,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.141806,3,2870247196.141806,2.9365544,1.8033729,-0.02756691
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3772,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.146933,3,2870247196.146933,1.1308262,1.6878684,0.30288696
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3773,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.152121,3,2870247196.152121,-0.73645854,1.502701,0.44708252
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3774,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.157248,3,2870247196.157248,-1.5789902,1.1442308,0.005818367
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3775,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.162405,3,2870247196.162405,-1.7707686,0.7693844,-0.663723
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3776,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.167868,3,2870247196.167868,-1.591032,0.33522034,-0.9452934
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3777,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.172659,3,2870247196.172659,-1.5687447,0.08543539,-0.7022228
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3778,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247196.177756,3,2870247196.177756,-1.3027351,0.0497334,0.12279987
