id,device,timestamp,activityLevel,timestamp
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12072,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142035.228,high,1435142035.228
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12075,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142036.23,high,1435142036.23
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12078,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142037.231,high,1435142037.231
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12081,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142038.233,high,1435142038.233
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12084,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142039.236,high,1435142039.236
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12087,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142147.853,high,1435142147.853
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12090,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142148.868,high,1435142148.868
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12093,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142149.863,high,1435142149.863
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12096,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142150.879,high,1435142150.879
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12099,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142151.871,high,1435142151.871
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12102,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142152.865,high,1435142152.865
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12105,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142153.863,high,1435142153.863
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12108,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142154.871,high,1435142154.871
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12111,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142155.871,high,1435142155.871
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12114,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142156.881,high,1435142156.881
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12117,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142157.872,high,1435142157.872
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12120,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142158.874,high,1435142158.874
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12123,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142159.876,high,1435142159.876
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12126,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142160.878,high,1435142160.878
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12130,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142268.276,high,1435142268.276
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12133,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142269.28,high,1435142269.28
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12136,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142270.294,high,1435142270.294
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12139,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142271.286,high,1435142271.286
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12142,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142272.306,high,1435142272.306
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12145,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142273.287,high,1435142273.287
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12148,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142274.303,high,1435142274.303
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12151,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142275.292,high,1435142275.292
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12154,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142276.293,high,1435142276.293
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12157,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142277.295,high,1435142277.295
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12160,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142278.298,high,1435142278.298
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12163,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142279.312,high,1435142279.312
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12166,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142280.314,high,1435142280.314
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12169,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142281.304,high,1435142281.304
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12173,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142355.337,high,1435142355.337
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12176,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142356.341,high,1435142356.341
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12179,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142357.347,high,1435142357.347
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12182,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142358.38,high,1435142358.38
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12185,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142359.351,high,1435142359.351
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12188,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142360.366,high,1435142360.366
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12191,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142361.352,high,1435142361.352
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12194,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142362.352,high,1435142362.352
